Surface reelle bati,Nombre pieces principales,Type local,Nombre de lots,Valeur fonciere,No voie,Type de voie,Voie,Code postal,Commune,prix_m2,adresse_complete,latitude,longitude
117.0,4.0,Appartement,2,"316500,00",30.0,AV,EMILE ZOLA,59800.0,LILLE,2705.128205128205,"30 AV EMILE ZOLA, 59800 LILLE",50.6499374,3.0847411
78.0,4.0,Appartement,1,"169270,00",51.0,RUE,DE DOUAI,59000.0,LILLE,2170.128205128205,"51 RUE DE DOUAI, 59000 LILLE",50.6229808,3.0706753
80.0,4.0,Appartement,1,"233500,00",50.0,RUE,LOUIS SPRIET,59000.0,LILLE,2918.75,"50 RUE LOUIS SPRIET, 59000 LILLE",50.6110283,3.072306
89.0,4.0,Appartement,2,"224000,00",28.0,RUE,DU BUISSON,59800.0,LILLE,2516.85393258427,"28 RUE DU BUISSON, 59800 LILLE",,
128.0,4.0,Appartement,2,"315000,00",630.0,AV,DE LA REPUBLIQUE,59800.0,LILLE,2460.9375,"630 AV DE LA REPUBLIQUE, 59800 LILLE",50.6540891,3.0853826
129.0,4.0,Appartement,2,"530000,00",3.0,RUE,SCHEPERS,59800.0,LILLE,4108.527131782946,"3 RUE SCHEPERS, 59800 LILLE",50.6363248,3.0668131
139.0,4.0,Appartement,2,"335100,00",660.0,AV,DE LA REPUBLIQUE,59800.0,LILLE,2410.7913669064747,"660 AV DE LA REPUBLIQUE, 59800 LILLE",,
71.0,4.0,Appartement,2,"196000,00",25.0,RUE,EMILE DESMET,59800.0,LILLE,2760.56338028169,"25 RUE EMILE DESMET, 59800 LILLE",50.626596,3.0446886
68.0,4.0,Appartement,1,"206050,00",151.0,BD,MONTEBELLO,59000.0,LILLE,3030.1470588235293,"151 BD MONTEBELLO, 59000 LILLE",50.619023,3.0495051
120.0,4.0,Appartement,1,"345000,00",44.0,RUE,DE VALENCIENNES,59000.0,LILLE,2875.0,"44 RUE DE VALENCIENNES, 59000 LILLE",50.6230458,3.0747977
78.0,4.0,Appartement,1,"175000,00",66.0,RUE,BAYARD,59000.0,LILLE,2243.5897435897436,"66 RUE BAYARD, 59000 LILLE",50.6189422,3.0541706
99.0,4.0,Appartement,1,"397000,00",6.0,RUE,DU PALAIS RIHOUR,59800.0,LILLE,4010.10101010101,"6 RUE DU PALAIS RIHOUR, 59800 LILLE",50.6351045,3.0615988
74.0,4.0,Appartement,2,"285000,00",175.0,RUE,DE SOLFERINO,59000.0,LILLE,3851.3513513513512,"175 RUE DE SOLFERINO, 59000 LILLE",,
109.0,4.0,Appartement,0,"2300000,00",10.0,RUE,FAIDHERBE,59800.0,LILLE,21100.91743119266,"10 RUE FAIDHERBE, 59800 LILLE",50.6369573,3.065725
76.0,4.0,Appartement,1,"258000,00",55.0,BD,DE VERDUN,59000.0,LILLE,3394.7368421052633,"55 BD DE VERDUN, 59000 LILLE",,
100.0,4.0,Appartement,1,"338100,00",17.0,RUE,DES PONTS DE COMINES,59800.0,LILLE,3381.0,"17 RUE DES PONTS DE COMINES, 59800 LILLE",50.6366006,3.0666732
76.0,4.0,Appartement,1,"164050,00",55.0,RUE,BONTE POLLET,59000.0,LILLE,2158.5526315789475,"55 RUE BONTE POLLET, 59000 LILLE",50.6267742,3.0319785
105.0,4.0,Appartement,1,"105000,00",13.0,RUE,DELEZENNE,59000.0,LILLE,1000.0,"13 RUE DELEZENNE, 59000 LILLE",50.6229319,3.0387518
105.0,4.0,Appartement,2,"265000,00",13.0,RUE,DELEZENNE,59000.0,LILLE,2523.809523809524,"13 RUE DELEZENNE, 59000 LILLE",50.6229319,3.0387518
83.0,4.0,Appartement,2,"203000,00",27.0,RUE,JEAN JAURES HELLEMMES,59260.0,LILLE,2445.7831325301204,"27 RUE JEAN JAURES HELLEMMES, 59260 LILLE",,
78.0,4.0,Appartement,0,"370000,00",819.0,AV,DE DUNKERQUE LOMME,59160.0,LILLE,4743.589743589743,"819 AV DE DUNKERQUE LOMME, 59160 LILLE",50.6453194,2.9845629
80.0,4.0,Appartement,2,"345000,00",53.0,RUE,DU PORT,59800.0,LILLE,4312.5,"53 RUE DU PORT, 59800 LILLE",,
94.0,4.0,Appartement,1,"324500,00",248.0,RUE,DU PONT A FOURCHON,59000.0,LILLE,3452.127659574468,"248 RUE DU PONT A FOURCHON, 59000 LILLE",50.6305929,3.0228807
84.0,4.0,Appartement,1,"323000,00",67.0,AV,DU PEUPLE BELGE,59800.0,LILLE,3845.2380952380954,"67 AV DU PEUPLE BELGE, 59800 LILLE",50.6464198,3.0610878
79.0,4.0,Appartement,2,"332000,00",4.0,RUE,SAINT SEBASTIEN,59800.0,LILLE,4202.53164556962,"4 RUE SAINT SEBASTIEN, 59800 LILLE",50.6463879,3.0562045
96.0,4.0,Appartement,2,"467000,00",229.0,BD,DE LA LIBERTE,59800.0,LILLE,4864.583333333333,"229 BD DE LA LIBERTE, 59800 LILLE",,
114.0,4.0,Appartement,2,"270000,00",50.0,RUE,DU MARAIS DE LOMME,59000.0,LILLE,2368.4210526315787,"50 RUE DU MARAIS DE LOMME, 59000 LILLE",50.6366974,3.0216789
74.0,4.0,Appartement,1,"231650,00",242.0,RUE,DU FBG DE ROUBAIX,59800.0,LILLE,3130.4054054054054,"242 RUE DU FBG DE ROUBAIX, 59800 LILLE",,
113.0,4.0,Appartement,1,"462000,00",27.0,RUE,DE LA PLEIADE,59160.0,LILLE,4088.495575221239,"27 RUE DE LA PLEIADE, 59160 LILLE",50.6426107,2.9775019
86.0,4.0,Appartement,2,"385000,00",16.0,PL,SEBASTOPOL,59000.0,LILLE,4476.7441860465115,"16 PL SEBASTOPOL, 59000 LILLE",,
111.0,4.0,Appartement,1,"451000,00",27.0,RUE,DE LA PLEIADE,59160.0,LILLE,4063.063063063063,"27 RUE DE LA PLEIADE, 59160 LILLE",50.6426107,2.9775019
82.0,4.0,Appartement,1,"253000,00",81.0,PASS,DES ALOUETTES,59000.0,LILLE,3085.3658536585367,"81 PASS DES ALOUETTES, 59000 LILLE",50.621461,3.0809966
80.0,4.0,Appartement,1,"208900,00",53.0,RUE,ROGER SALENGRO,59260.0,LILLE,2611.25,"53 RUE ROGER SALENGRO, 59260 LILLE",,
84.0,4.0,Appartement,1,"442100,00",2.0,RUE,DE LA TRANQUILLITE,59800.0,LILLE,5263.0952380952385,"2 RUE DE LA TRANQUILLITE, 59800 LILLE",50.6267193,3.0463628
82.0,4.0,Appartement,2,"198000,00",41.0,RUE,LAMARTINE,59000.0,LILLE,2414.6341463414633,"41 RUE LAMARTINE, 59000 LILLE",50.6202586,3.0638731
73.0,4.0,Appartement,1,"185400,00",9001.0,RES,DES PEUPLIERS,59160.0,LILLE,2539.72602739726,"9001 RES DES PEUPLIERS, 59160 LILLE",,
68.0,4.0,Appartement,1,"325000,00",2.0,RUE,HEGEL LOMME,59160.0,LILLE,4779.411764705882,"2 RUE HEGEL LOMME, 59160 LILLE",50.6307396,3.0208139
58.0,4.0,Appartement,2,"176000,00",8.0,RUE,DE BAPAUME,59000.0,LILLE,3034.4827586206898,"8 RUE DE BAPAUME, 59000 LILLE",50.6200464,3.0568971
81.0,4.0,Appartement,1,"383500,00",5.0,RUE,A FIENS,59800.0,LILLE,4734.567901234568,"5 RUE A FIENS, 59800 LILLE",50.637858,3.0684656
76.0,4.0,Appartement,2,"252450,00",55.0,RUE,BONTE POLLET,59000.0,LILLE,3321.7105263157896,"55 RUE BONTE POLLET, 59000 LILLE",50.6267742,3.0319785
189.0,4.0,Appartement,1,"1226400,00",55.0,RUE,SAINT SEBASTIEN,59800.0,LILLE,6488.888888888889,"55 RUE SAINT SEBASTIEN, 59800 LILLE",50.6467606,3.0570744
83.0,4.0,Appartement,1,"395000,00",6.0,TSSE,SAINTE CATHERINE,59800.0,LILLE,4759.036144578313,"6 TSSE SAINTE CATHERINE, 59800 LILLE",50.6397018,3.0578044
83.0,4.0,Appartement,1,"270000,00",120.0,AV,DENIS CORDONNIER,59000.0,LILLE,3253.012048192771,"120 AV DENIS CORDONNIER, 59000 LILLE",50.623847,3.0820524
97.0,4.0,Appartement,1,"437500,00",36.0,RUE,RATISBONNE,59800.0,LILLE,4510.309278350515,"36 RUE RATISBONNE, 59800 LILLE",,
135.0,4.0,Appartement,1,"604800,00",2.0,RUE,SAINT FIRMIN,59800.0,LILLE,4480.0,"2 RUE SAINT FIRMIN, 59800 LILLE",50.6412145,3.0833412
84.0,4.0,Appartement,1,"403650,00",28.0,RUE,DU METZ,59800.0,LILLE,4805.357142857143,"28 RUE DU METZ, 59800 LILLE",50.6456733,3.0595567
63.0,4.0,Appartement,2,"153000,00",65.0,RUE,DE L EPINETTE,59000.0,LILLE,2428.5714285714284,"65 RUE DE L EPINETTE, 59000 LILLE",50.6155626,3.0259344
60.0,4.0,Appartement,1,"215000,00",84.0,RUE,DE MARQUILLIES,59000.0,LILLE,3583.3333333333335,"84 RUE DE MARQUILLIES, 59000 LILLE",50.6147386,3.0532847
83.0,4.0,Appartement,2,"270000,00",139.0,RUE,DU BUISSON,59800.0,LILLE,3253.012048192771,"139 RUE DU BUISSON, 59800 LILLE",,
69.0,4.0,Appartement,2,"170000,00",28.0,RUE,DU BUISSON,59800.0,LILLE,2463.768115942029,"28 RUE DU BUISSON, 59800 LILLE",50.6494173,3.0870997
71.0,4.0,Appartement,2,"140000,00",2.0,ALL,ALBERT SAMAIN,59260.0,LILLE,1971.8309859154929,"2 ALL ALBERT SAMAIN, 59260 LILLE",50.6262267,3.1050666
95.0,4.0,Appartement,2,"593000,00",6.0,PL,DU LION D OR,59800.0,LILLE,6242.105263157895,"6 PL DU LION D OR, 59800 LILLE",,
78.0,4.0,Appartement,0,"850000,00",26.0,RUE,MASSENA,59800.0,LILLE,10897.435897435897,"26 RUE MASSENA, 59800 LILLE",50.6328843,3.0549053
95.0,4.0,Appartement,1,"400000,00",2.0,RUE,EDOUARD DELESALLE,59800.0,LILLE,4210.526315789473,"2 RUE EDOUARD DELESALLE, 59800 LILLE",50.6333659,3.0665442
80.0,4.0,Appartement,1,"325000,00",4.0,RUE,DU CHEVALIER FRANCAIS,59800.0,LILLE,4062.5,"4 RUE DU CHEVALIER FRANCAIS, 59800 LILLE",,
80.0,4.0,Appartement,1,"236225,00",57.0,RUE,DE L EPINETTE,59000.0,LILLE,2952.8125,"57 RUE DE L EPINETTE, 59000 LILLE",50.6140989,3.0277002
83.0,4.0,Appartement,1,"123750,00",81.0,RUE,DE RIVOLI,59800.0,LILLE,1490.9638554216867,"81 RUE DE RIVOLI, 59800 LILLE",50.6362255,3.0921467
87.0,4.0,Appartement,1,"173250,00",66.0,RUE,BAYARD,59000.0,LILLE,1991.3793103448277,"66 RUE BAYARD, 59000 LILLE",50.6189422,3.0541706
54.0,4.0,Appartement,2,"272670,00",13.0,RUE,VIRGINIE GHESQUIERE,59000.0,LILLE,5049.444444444444,"13 RUE VIRGINIE GHESQUIERE, 59000 LILLE",50.623591,3.0411685
82.0,4.0,Appartement,2,"360000,00",16.0,RUE,DE BOULOGNE,59800.0,LILLE,4390.243902439024,"16 RUE DE BOULOGNE, 59800 LILLE",,
78.0,4.0,Appartement,1,"181450,00",519.0,AV,DE DUNKERQUE LOMME,59160.0,LILLE,2326.2820512820513,"519 AV DE DUNKERQUE LOMME, 59160 LILLE",50.6469508,3.0049139
65.0,4.0,Appartement,2,"141500,00",583.0,AV,DE DUNKERQUE LOMME,59160.0,LILLE,2176.923076923077,"583 AV DE DUNKERQUE LOMME, 59160 LILLE",50.6466855,3.000707
78.0,4.0,Appartement,1,"169290,00",66.0,RUE,BAYARD,59000.0,LILLE,2170.3846153846152,"66 RUE BAYARD, 59000 LILLE",50.6189422,3.0541706
65.0,4.0,Appartement,1,"120000,00",12.0,RUE,MAURICE BERTEAUX,59260.0,LILLE,1846.1538461538462,"12 RUE MAURICE BERTEAUX, 59260 LILLE",50.6237607,3.1002374
65.0,4.0,Appartement,1,"120000,00",12.0,RUE,MAURICE BERTEAUX,59260.0,LILLE,1846.1538461538462,"12 RUE MAURICE BERTEAUX, 59260 LILLE",50.6237607,3.1002374
86.0,4.0,Appartement,2,"269000,00",2.0,RUE,DE L ORPHELINAT,59000.0,LILLE,3127.906976744186,"2 RUE DE L ORPHELINAT, 59000 LILLE",,
78.0,4.0,Appartement,0,"3450000,00",66.0,RUE,LEON GAMBETTA,59000.0,LILLE,44230.769230769234,"66 RUE LEON GAMBETTA, 59000 LILLE",50.6307781,3.0577205
97.0,4.0,Appartement,0,"3450000,00",68.0,RUE,LEON GAMBETTA,59000.0,LILLE,35567.010309278354,"68 RUE LEON GAMBETTA, 59000 LILLE",50.6307393,3.0576254
97.0,4.0,Appartement,0,"3450000,00",68.0,RUE,LEON GAMBETTA,59000.0,LILLE,35567.010309278354,"68 RUE LEON GAMBETTA, 59000 LILLE",50.6307393,3.0576254
99.0,4.0,Appartement,2,"299000,00",7.0,BD,MONTEBELLO,59000.0,LILLE,3020.2020202020203,"7 BD MONTEBELLO, 59000 LILLE",50.6257202,3.0412003
82.0,4.0,Appartement,1,"297000,00",17.0,RUE,KUHLMANN,59000.0,LILLE,3621.951219512195,"17 RUE KUHLMANN, 59000 LILLE",50.6207683,3.0532125
129.0,4.0,Appartement,3,"791230,00",54.0,RUE,DE GAND,59800.0,LILLE,6133.565891472868,"54 RUE DE GAND, 59800 LILLE",,
89.0,4.0,Appartement,1,"385000,00",51.0,AV,ARCHITECTE CORDONNIER,59800.0,LILLE,4325.842696629214,"51 AV ARCHITECTE CORDONNIER, 59800 LILLE",50.6339289,3.0421114
83.0,4.0,Appartement,1,"172000,00",41.0,RUE,PASCAL,59800.0,LILLE,2072.289156626506,"41 RUE PASCAL, 59800 LILLE",50.6395067,3.083942
84.0,4.0,Appartement,1,"312000,00",852.0,AV,DE DUNKERQUE LOMME,59160.0,LILLE,3714.285714285714,"852 AV DE DUNKERQUE LOMME, 59160 LILLE",50.646187,2.9884926
