Surface reelle bati,Nombre pieces principales,Type local,Nombre de lots,Valeur fonciere,No voie,Type de voie,Voie,Code postal,Commune,prix_m2,adresse_complete,latitude,longitude
47.0,2.0,Appartement,1,"180000,00",108.0,CRS,SAINT LOUIS,33300.0,BORDEAUX,3829.7872340425533,"108 CRS SAINT LOUIS, 33300 BORDEAUX",44.8607292,-0.5681334
39.0,2.0,Appartement,1,"259075,00",96.0,RUE,LUCIEN FAURE,33300.0,BORDEAUX,6642.948717948718,"96 RUE LUCIEN FAURE, 33300 BORDEAUX",44.864254,-0.5588709
69.0,3.0,Appartement,1,"360000,00",2.0,RUE,VAUCHER,33800.0,BORDEAUX,5217.391304347826,"2 RUE VAUCHER, 33800 BORDEAUX",44.8175768,-0.5717706
87.0,4.0,Appartement,1,"397000,00",30.0,ALL,HAUSSMANN,33300.0,BORDEAUX,4563.218390804598,"30 ALL HAUSSMANN, 33300 BORDEAUX",44.8648341,-0.5701505
46.0,2.0,Appartement,1,"107351,00",12.0,RUE,CITE CHANTECRIT,33300.0,BORDEAUX,2333.717391304348,"12 RUE CITE CHANTECRIT, 33300 BORDEAUX",44.8627119,-0.5637641
120.0,4.0,Appartement,1,"480000,00",5.0,RUE,GUILLAUME BROCHON,33000.0,BORDEAUX,4000.0,"5 RUE GUILLAUME BROCHON, 33000 BORDEAUX",44.841654,-0.5761603
94.0,4.0,Appartement,1,"425000,00",21.0,CRS,EDOUARD VAILLANT,33300.0,BORDEAUX,4521.276595744681,"21 CRS EDOUARD VAILLANT, 33300 BORDEAUX",44.8600102,-0.5575005
50.0,4.0,Appartement,1,"308000,00",174.0,RUE,FRANCOIS DE SOURDIS,33000.0,BORDEAUX,6160.0,"174 RUE FRANCOIS DE SOURDIS, 33000 BORDEAUX",44.8297076,-0.5866948
85.0,4.0,Appartement,1,"420000,00",5.0,RUE,COIFFARD,33200.0,BORDEAUX,4941.176470588235,"5 RUE COIFFARD, 33200 BORDEAUX",44.8591583,-0.611368
34.0,2.0,Appartement,1,"163000,00",8.0,RUE,PERINOT,33200.0,BORDEAUX,4794.117647058823,"8 RUE PERINOT, 33200 BORDEAUX",44.8551082,-0.6271387
44.0,1.0,Appartement,1,"206000,00",11.0,RUE,CHARLES LAMOUREUX,33000.0,BORDEAUX,4681.818181818182,"11 RUE CHARLES LAMOUREUX, 33000 BORDEAUX",44.8437604,-0.5719716
38.0,2.0,Appartement,1,"230000,00",5.0,RUE,DES AYRES,33000.0,BORDEAUX,6052.631578947368,"5 RUE DES AYRES, 33000 BORDEAUX",44.8369801,-0.5722251
52.0,3.0,Appartement,1,"290000,00",32.0,RUE,DES BOUVIERS,33800.0,BORDEAUX,5576.923076923077,"32 RUE DES BOUVIERS, 33800 BORDEAUX",44.8324398,-0.5658511
81.0,3.0,Appartement,1,"500000,00",7.0,RUE,CHARLES MARIONNEAU,33000.0,BORDEAUX,6172.83950617284,"7 RUE CHARLES MARIONNEAU, 33000 BORDEAUX",44.8418555,-0.5868193
70.0,3.0,Appartement,1,"310000,00",66.0,RUE,DE CAUDERAN,33000.0,BORDEAUX,4428.571428571428,"66 RUE DE CAUDERAN, 33000 BORDEAUX",44.8465214,-0.5977753
85.0,4.0,Appartement,1,"338100,00",5.0,RUE,PAULE MARROT,33300.0,BORDEAUX,3977.6470588235293,"5 RUE PAULE MARROT, 33300 BORDEAUX",44.8824129,-0.5709976
21.0,1.0,Appartement,1,"135000,00",135.0,CRS,DE L YSER,33800.0,BORDEAUX,6428.571428571428,"135 CRS DE L YSER, 33800 BORDEAUX",44.8248051,-0.5701991
66.0,3.0,Appartement,1,"260500,00",24.0,RUE,GENERAL DE LARMINAT,33000.0,BORDEAUX,3946.969696969697,"24 RUE GENERAL DE LARMINAT, 33000 BORDEAUX",44.8332928,-0.593388
35.0,2.0,Appartement,2,"195000,00",174.0,CRS,DE L YSER,33800.0,BORDEAUX,5571.428571428572,"174 CRS DE L YSER, 33800 BORDEAUX",44.8230097,-0.5706998
114.0,4.0,Appartement,1,"425000,00",7.0,RUE,RAVEZ,33000.0,BORDEAUX,3728.0701754385964,"7 RUE RAVEZ, 33000 BORDEAUX",44.8371889,-0.5729075
51.0,2.0,Appartement,1,"250000,00",127.0,AV,CHARLES DE GAULLE,33200.0,BORDEAUX,4901.9607843137255,"127 AV CHARLES DE GAULLE, 33200 BORDEAUX",44.8502309,-0.6046292
144.0,4.0,Appartement,1,"985000,00",6.0,CRS,DE GOURGUE,33000.0,BORDEAUX,6840.277777777777,"6 CRS DE GOURGUE, 33000 BORDEAUX",44.8466908,-0.5756479
20.0,1.0,Appartement,1,"131000,00",11.0,RUE,SAUMENUDE,33800.0,BORDEAUX,6550.0,"11 RUE SAUMENUDE, 33800 BORDEAUX",44.8318543,-0.5667535
66.0,3.0,Appartement,2,"185000,00",131.0,CRS,EDOUARD VAILLANT,33300.0,BORDEAUX,2803.030303030303,"131 CRS EDOUARD VAILLANT, 33300 BORDEAUX",44.864069,-0.5620971
60.0,3.0,Appartement,1,"360240,00",11.0,RUE,JOSEPHINE,33300.0,BORDEAUX,6004.0,"11 RUE JOSEPHINE, 33300 BORDEAUX",44.8589737,-0.5646519
25.0,1.0,Appartement,1,"124000,00",134.0,CRS,DE L YSER,33800.0,BORDEAUX,4960.0,"134 CRS DE L YSER, 33800 BORDEAUX",44.824858,-0.569943
12.0,1.0,Appartement,1,"108180,00",29.0,RUE,DES TROIS CONILS,33000.0,BORDEAUX,9015.0,"29 RUE DES TROIS CONILS, 33000 BORDEAUX",44.8388059,-0.5755996
74.0,3.0,Appartement,0,"635000,00",29.0,RUE,CLEMENT,33000.0,BORDEAUX,8581.081081081082,"29 RUE CLEMENT, 33000 BORDEAUX",44.8285353,-0.5771947
72.0,3.0,Appartement,0,"635000,00",29.0,RUE,CLEMENT,33000.0,BORDEAUX,8819.444444444445,"29 RUE CLEMENT, 33000 BORDEAUX",44.8285353,-0.5771947
21.0,1.0,Appartement,1,"152774,00",25.0,RUE,DES AUGUSTINS,33000.0,BORDEAUX,7274.952380952381,"25 RUE DES AUGUSTINS, 33000 BORDEAUX",44.832474,-0.5720322
69.0,3.0,Appartement,2,"287000,00",115.0,RUE,FONDAUDEGE,33000.0,BORDEAUX,4159.420289855072,"115 RUE FONDAUDEGE, 33000 BORDEAUX",44.8482112,-0.5821445
48.0,2.0,Appartement,1,"183650,00",94.0,CRS,DE LA SOMME,33800.0,BORDEAUX,3826.0416666666665,"94 CRS DE LA SOMME, 33800 BORDEAUX",44.8271804,-0.572363
70.0,3.0,Appartement,1,"300000,00",115.0,RUE,DELBOS,33300.0,BORDEAUX,4285.714285714285,"115 RUE DELBOS, 33300 BORDEAUX",44.8671901,-0.5500779
85.0,4.0,Appartement,2,"265350,00",80.0,CRS,DE LUZE,33300.0,BORDEAUX,3121.764705882353,"80 CRS DE LUZE, 33300 BORDEAUX",44.858453,-0.581452
123.0,5.0,Appartement,1,"639500,00",41.0,RUE,MALLERET,33000.0,BORDEAUX,5199.1869918699185,"41 RUE MALLERET, 33000 BORDEAUX",44.8490135,-0.5851465
67.0,3.0,Appartement,1,"356500,00",91.0,CRS,VICTOR HUGO,33000.0,BORDEAUX,5320.895522388059,"91 CRS VICTOR HUGO, 33000 BORDEAUX",44.835236,-0.5705335
67.0,3.0,Appartement,2,"508786,00",52.0,RUE,HUGUERIE,33000.0,BORDEAUX,7593.820895522388,"52 RUE HUGUERIE, 33000 BORDEAUX",44.844411,-0.5808039
47.0,3.0,Appartement,1,"354560,00",8.0,RUE,FRANCIN,33800.0,BORDEAUX,7543.829787234043,"8 RUE FRANCIN, 33800 BORDEAUX",44.8262949,-0.5591451
29.0,1.0,Appartement,1,"138000,00",10.0,RUE,DE BREZETS,33800.0,BORDEAUX,4758.620689655172,"10 RUE DE BREZETS, 33800 BORDEAUX",44.8235885,-0.5718815
81.0,4.0,Appartement,1,"198000,00",44.0,RUE,ELIE GINTRAC,33000.0,BORDEAUX,2444.4444444444443,"44 RUE ELIE GINTRAC, 33000 BORDEAUX",44.8308838,-0.5689477
53.0,3.0,Appartement,1,"203000,00",76.0,RUE,MATHIEU,33000.0,BORDEAUX,3830.188679245283,"76 RUE MATHIEU, 33000 BORDEAUX",44.8298601,-0.5921531
18.0,1.0,Appartement,2,"86000,00",39.0,RUE,CEREY,33200.0,BORDEAUX,4777.777777777777,"39 RUE CEREY, 33200 BORDEAUX",44.8540958,-0.6188664
43.0,2.0,Appartement,1,"180550,00",64.0,CRS,DE LA MARNE,33800.0,BORDEAUX,4198.837209302325,"64 CRS DE LA MARNE, 33800 BORDEAUX",44.8299779,-0.5684686
82.0,2.0,Appartement,2,"344280,00",9.0,RUE,VICTOIRE AMERICAINE,33000.0,BORDEAUX,4198.536585365854,"9 RUE VICTOIRE AMERICAINE, 33000 BORDEAUX",44.8463386,-0.5786855
45.0,2.0,Appartement,1,"188500,00",124.0,RUE,QUINTIN,33000.0,BORDEAUX,4188.888888888889,"124 RUE QUINTIN, 33000 BORDEAUX",44.8235519,-0.5999287
52.0,2.0,Appartement,1,"122166,00",90.0,CRS,DE QUEBEC,33300.0,BORDEAUX,2349.346153846154,"90 CRS DE QUEBEC, 33300 BORDEAUX",44.8806317,-0.5704153
90.0,4.0,Appartement,2,"238000,00",43.0,RUE,MARECHAL GALLIENI,33200.0,BORDEAUX,2644.4444444444443,"43 RUE MARECHAL GALLIENI, 33200 BORDEAUX",44.8414714,-0.6238126
69.0,3.0,Appartement,1,"277000,00",10.0,IMP,BRULATOUR,33800.0,BORDEAUX,4014.4927536231885,"10 IMP BRULATOUR, 33800 BORDEAUX",44.8131814,-0.5579221
17.0,1.0,Appartement,1,"123500,00",7.0,RUE,CLARE,33800.0,BORDEAUX,7264.705882352941,"7 RUE CLARE, 33800 BORDEAUX",44.8318403,-0.5672999
76.0,2.0,Appartement,3,"340000,00",37.0,RUE,FONDAUDEGE,33000.0,BORDEAUX,4473.684210526316,"37 RUE FONDAUDEGE, 33000 BORDEAUX",44.8464495,-0.5796231
18.0,1.0,Appartement,2,"78000,00",49.0,RUE,DONISSAN,33000.0,BORDEAUX,4333.333333333333,"49 RUE DONISSAN, 33000 BORDEAUX",44.8293274,-0.5750039
64.0,3.0,Appartement,1,"300010,00",38.0,RUE,CARPENTEYRE,33800.0,BORDEAUX,4687.65625,"38 RUE CARPENTEYRE, 33800 BORDEAUX",44.8335273,-0.5628359
98.0,4.0,Appartement,2,"444800,00",1.0,RUE,BORDA,33000.0,BORDEAUX,4538.775510204082,"1 RUE BORDA, 33000 BORDEAUX",44.8274535,-0.5783671
44.0,3.0,Appartement,1,"280000,00",5.0,RUE,FONDAUDEGE,33000.0,BORDEAUX,6363.636363636364,"5 RUE FONDAUDEGE, 33000 BORDEAUX",44.845619,-0.57852
