Surface reelle bati,Nombre pieces principales,Type local,Nombre de lots,Valeur fonciere,No voie,Type de voie,Voie,Code postal,Commune,prix_m2,adresse_complete,latitude,longitude
44.0,2.0,Appartement,1,"253500,00",36.0,PL,LOUISE DE BETTIGNIES,59800.0,LILLE,5761.363636363636,"36 PL LOUISE DE BETTIGNIES, 59800 LILLE",50.6414035,3.0655171
149.0,5.0,Appartement,1,"595250,00",53.0,RUE,DE LA CLEF,59800.0,LILLE,3994.96644295302,"53 RUE DE LA CLEF, 59800 LILLE",50.6393897,3.0647691
42.0,2.0,Appartement,2,"157500,00",53.0,AV,DE LA REPUBLIQUE LOMME,59160.0,LILLE,3750.0,"53 AV DE LA REPUBLIQUE LOMME, 59160 LILLE",50.6396274,3.0143442
52.0,2.0,Appartement,1,"200000,00",85.0,RUE,DU MOLINEL,59800.0,LILLE,3846.153846153846,"85 RUE DU MOLINEL, 59800 LILLE",50.6337919,3.0668226
67.0,2.0,Appartement,2,"203000,00",132.0,RUE,PIERRE MAUROY,59800.0,LILLE,3029.8507462686566,"132 RUE PIERRE MAUROY, 59800 LILLE",50.6340757,3.0677539
56.0,3.0,Appartement,2,"200000,00",14.0,RUE,PIERRE MARTEL,59800.0,LILLE,3571.428571428572,"14 RUE PIERRE MARTEL, 59800 LILLE",50.6307797,3.0428672
42.0,2.0,Appartement,2,"215000,00",36.0,RUE,JACQUEMARS GIELEE,59800.0,LILLE,5119.047619047619,"36 RUE JACQUEMARS GIELEE, 59800 LILLE",50.6333308,3.0563924
61.0,3.0,Appartement,1,"170000,00",10.0,RUE,SAINT LUC,59800.0,LILLE,2786.88524590164,"10 RUE SAINT LUC, 59800 LILLE",50.6440903,3.0919773
65.0,3.0,Appartement,2,"186480,00",29.0,RUE,HENRI DUNANT,59000.0,LILLE,2868.923076923077,"29 RUE HENRI DUNANT, 59000 LILLE",50.6360764,3.031504
66.0,3.0,Appartement,1,"255000,00",9.0,QUAI,DE L OUEST,59000.0,LILLE,3863.636363636364,"9 QUAI DE L OUEST, 59000 LILLE",50.6350003,3.0284297
15.0,1.0,Appartement,1,"110500,00",9.0,RUE,DU PRIEZ,59800.0,LILLE,7366.666666666667,"9 RUE DU PRIEZ, 59800 LILLE",50.6364105,3.0685196
45.0,2.0,Appartement,2,"145000,00",209.0,RUE,JEAN JAURES LOMME,59160.0,LILLE,3222.222222222222,"209 RUE JEAN JAURES LOMME, 59160 LILLE",50.6418907,3.0134771
22.0,1.0,Appartement,2,"83500,00",6.0,RUE,BOSSUET,59000.0,LILLE,3795.4545454545455,"6 RUE BOSSUET, 59000 LILLE",50.6197528,3.0675215
61.0,3.0,Appartement,1,"202000,00",435.0,AV,DE DUNKERQUE LOMME,59160.0,LILLE,3311.4754098360654,"435 AV DE DUNKERQUE LOMME, 59160 LILLE",50.6440328,3.0143648
37.0,2.0,Appartement,1,"242150,00",25.0,RUE,D ANGLETERRE,59800.0,LILLE,6544.594594594595,"25 RUE D ANGLETERRE, 59800 LILLE",50.6413655,3.0604008
63.0,3.0,Appartement,1,"515280,00",25.0,RUE,D ANGLETERRE,59800.0,LILLE,8179.047619047619,"25 RUE D ANGLETERRE, 59800 LILLE",50.6413655,3.0604008
48.0,2.0,Appartement,1,"185850,00",237.0,RUE,SAINT SEBASTIEN,59800.0,LILLE,3871.875,"237 RUE SAINT SEBASTIEN, 59800 LILLE",50.6474167,3.0600379
128.0,5.0,Appartement,2,"426300,00",59.0,BD,VAUBAN,59800.0,LILLE,3330.46875,"59 BD VAUBAN, 59800 LILLE",50.6326901,3.0471585
35.0,2.0,Appartement,1,"200000,00",28.0,RUE,D AMIENS,59800.0,LILLE,5714.285714285715,"28 RUE D AMIENS, 59800 LILLE",50.6334075,3.0644044
45.0,2.0,Appartement,0,"200000,00",1.0,RUE,DE L ECOLE,59800.0,LILLE,4444.444444444444,"1 RUE DE L ECOLE, 59800 LILLE",50.6304506,3.0894466
38.0,2.0,Appartement,0,"200000,00",1.0,RUE,DE L ECOLE,59800.0,LILLE,5263.1578947368425,"1 RUE DE L ECOLE, 59800 LILLE",50.6304506,3.0894466
40.0,2.0,Appartement,2,"175000,00",14.0,RUE,DESCHODT,59800.0,LILLE,4375.0,"14 RUE DESCHODT, 59800 LILLE",50.6268156,3.0437458
43.0,2.0,Appartement,1,"102000,00",66.0,RUE,BAYARD,59000.0,LILLE,2372.093023255814,"66 RUE BAYARD, 59000 LILLE",50.6189422,3.0541706
43.0,2.0,Appartement,1,"113000,00",66.0,RUE,BAYARD,59000.0,LILLE,2627.906976744186,"66 RUE BAYARD, 59000 LILLE",50.6189422,3.0541706
76.0,4.0,Appartement,2,"205000,00",53.0,RUE,BONTE POLLET,59000.0,LILLE,2697.368421052632,"53 RUE BONTE POLLET, 59000 LILLE",50.6260309,3.0319625
57.0,3.0,Appartement,1,"192000,00",151.0,BD,MONTEBELLO,59000.0,LILLE,3368.4210526315787,"151 BD MONTEBELLO, 59000 LILLE",50.619023,3.0495051
20.0,1.0,Appartement,1,"127500,00",151.0,RUE,NATIONALE,59800.0,LILLE,6375.0,"151 RUE NATIONALE, 59800 LILLE",50.6330758,3.0535247
57.0,2.0,Appartement,1,"50000,00",10.0,RUE,DES FRERES VAILLANT,59800.0,LILLE,877.1929824561404,"10 RUE DES FRERES VAILLANT, 59800 LILLE",50.6285189,3.0441241
25.0,1.0,Appartement,2,"103000,00",164.0,RUE,D ISLY,59000.0,LILLE,4120.0,"164 RUE D ISLY, 59000 LILLE",50.6216457,3.0354761
59.0,3.0,Appartement,2,"116000,00",4.0,ALL,ROMAIN ROLLAND,59260.0,LILLE,1966.1016949152545,"4 ALL ROMAIN ROLLAND, 59260 LILLE",50.6265386,3.1044053
91.0,4.0,Appartement,1,"212770,00",601.0,RUE,DE L ASIE,59000.0,LILLE,2338.131868131868,"601 RUE DE L ASIE, 59000 LILLE",50.6040513,3.0526141
59.0,3.0,Appartement,1,"279500,00",24.0,PL,PHILIPPE LEBON,59000.0,LILLE,4737.28813559322,"24 PL PHILIPPE LEBON, 59000 LILLE",50.6274619,3.0606078
24.0,1.0,Appartement,1,"88000,00",32.0,RUE,DE MAUBEUGE,59000.0,LILLE,3666.6666666666665,"32 RUE DE MAUBEUGE, 59000 LILLE",50.6241183,3.0711845
146.0,4.0,Appartement,1,"558000,00",8.0,RUE,ALPHONSE MERCIER,59800.0,LILLE,3821.917808219178,"8 RUE ALPHONSE MERCIER, 59800 LILLE",50.6317121,3.0513532
84.0,4.0,Appartement,1,"225000,00",579.0,AV,DU PRESIDENT HOOVER,59800.0,LILLE,2678.5714285714284,"579 AV DU PRESIDENT HOOVER, 59800 LILLE",50.6264671,3.0800906
28.0,1.0,Appartement,1,"172247,00",33.0,RUE,SAINT GABRIEL,59800.0,LILLE,6151.678571428572,"33 RUE SAINT GABRIEL, 59800 LILLE",50.638402,3.0864942
52.0,2.0,Appartement,1,"165000,00",10.0,RUE,SAINT LUC,59800.0,LILLE,3173.076923076923,"10 RUE SAINT LUC, 59800 LILLE",50.6440903,3.0919773
80.0,3.0,Appartement,0,"600000,00",104.0,BD,VAUBAN,59800.0,LILLE,7500.0,"104 BD VAUBAN, 59800 LILLE",50.6305831,3.0444701
33.0,2.0,Appartement,0,"285000,00",7.0,RUE,D ENNETIERES,59000.0,LILLE,8636.363636363636,"7 RUE D ENNETIERES, 59000 LILLE",50.6223182,3.0421719
33.0,2.0,Appartement,0,"285000,00",7.0,RUE,D ENNETIERES,59000.0,LILLE,8636.363636363636,"7 RUE D ENNETIERES, 59000 LILLE",50.6223182,3.0421719
35.0,2.0,Appartement,0,"285000,00",7.0,RUE,D ENNETIERES,59000.0,LILLE,8142.857142857143,"7 RUE D ENNETIERES, 59000 LILLE",50.6223182,3.0421719
30.0,1.0,Appartement,1,"178000,00",32.0,AV,DU PEUPLE BELGE,59800.0,LILLE,5933.333333333333,"32 AV DU PEUPLE BELGE, 59800 LILLE",50.6425088,3.0637667
80.0,3.0,Appartement,1,"324800,00",8.0,RUE,GEORGES MAERTENS,59800.0,LILLE,4060.0,"8 RUE GEORGES MAERTENS, 59800 LILLE",50.6331541,3.0613744
30.0,1.0,Appartement,1,"150000,00",38.0,RUE,ALEXANDRE LELEUX,59800.0,LILLE,5000.0,"38 RUE ALEXANDRE LELEUX, 59800 LILLE",50.631177,3.0575111
43.0,2.0,Appartement,1,"160000,00",50.0,RUE,DE L ALMA,59800.0,LILLE,3720.9302325581393,"50 RUE DE L ALMA, 59800 LILLE",50.69587,3.164414
35.0,2.0,Appartement,1,"86500,00",15.0,RUE,DE VALMY,59000.0,LILLE,2471.428571428572,"15 RUE DE VALMY, 59000 LILLE",50.6296257,3.0640163
